Context_ID,Group,Retailer,Store,Product_Number,Product_Name,Observed_Price,Lowest_Peer_Price,Typical_Peer_Price,Highest_Peer_Price,Price_Above_Typical_Pct,Context_Price_Spread_Pct,Comparison_Group_Count,Evidence_Score,Evidence_Level,Final_Signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_1,1-A,Safeway,Safeway-DC1,1,Honeycrisp apples (1 apple),2.16,2.16,2.44,2.44,-11.475409836065564,12.962962962962955,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_1,1-B,Safeway,Safeway-DC1,1,Honeycrisp apples (1 apple),2.34,2.16,2.44,2.44,-4.098360655737709,12.962962962962955,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_1,1-C,Safeway,Safeway-DC1,1,Honeycrisp apples (1 apple),2.44,2.16,2.44,2.44,0.0,12.962962962962955,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_1,1-D,Safeway,Safeway-DC1,1,Honeycrisp apples (1 apple),2.44,2.16,2.44,2.44,0.0,12.962962962962955,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_1,1-E,Safeway,Safeway-DC1,1,Honeycrisp apples (1 apple),2.44,2.16,2.44,2.44,0.0,12.962962962962955,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_10,1-A,Safeway,Safeway-DC1,10,"Lucerne Eggs, Large, 12 ct.",6.47,6.47,6.99,6.99,-7.439198855507878,8.037094281298307,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_10,1-B,Safeway,Safeway-DC1,10,"Lucerne Eggs, Large, 12 ct.",6.99,6.47,6.99,6.99,0.0,8.037094281298307,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_10,1-C,Safeway,Safeway-DC1,10,"Lucerne Eggs, Large, 12 ct.",6.99,6.47,6.99,6.99,0.0,8.037094281298307,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_10,1-D,Safeway,Safeway-DC1,10,"Lucerne Eggs, Large, 12 ct.",6.99,6.47,6.99,6.99,0.0,8.037094281298307,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_10,1-E,Safeway,Safeway-DC1,10,"Lucerne Eggs, Large, 12 ct.",6.47,6.47,6.99,6.99,-7.439198855507878,8.037094281298307,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_11,1-A,Safeway,Safeway-DC1,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",10.25,10.25,10.99,11.59,-6.733393994540493,13.073170731707314,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_11,1-B,Safeway,Safeway-DC1,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",10.99,10.25,10.99,11.59,0.0,13.073170731707314,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_11,1-C,Safeway,Safeway-DC1,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",10.99,10.25,10.99,11.59,0.0,13.073170731707314,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_11,1-D,Safeway,Safeway-DC1,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",10.99,10.25,10.99,11.59,0.0,13.073170731707314,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_11,1-E,Safeway,Safeway-DC1,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",11.59,10.25,10.99,11.59,5.459508644222022,13.073170731707314,5,21.838034576888088,Noticeably above peers,Moderate signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_12,1-A,Safeway,Safeway-DC1,12,"Heinz Tomato Ketchup, 20 oz.",5.99,5.99,5.99,5.99,0.0,0.0,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_12,1-B,Safeway,Safeway-DC1,12,"Heinz Tomato Ketchup, 20 oz.",5.99,5.99,5.99,5.99,0.0,0.0,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_12,1-C,Safeway,Safeway-DC1,12,"Heinz Tomato Ketchup, 20 oz.",5.99,5.99,5.99,5.99,0.0,0.0,5,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_12,1-D,Safeway,Safeway-DC1,12,"Heinz Tomato Ketchup, 20 oz.",5.99,5.99,5.99,5.99,0.0,0.0,5,0.0,Within observed peer range,Low signal
