Context_ID,Retailer,Store,Date,Hour,Product_Number,Product_Name,Group_Count,Peer_Min_Price,Peer_Median_Price,Peer_Max_Price,Peer_Unique_Prices,Peer_Max_Min_Spread_Pct,Has_Price_Variation,Highest_Price_Group,Highest_Group_Price,Lowest_Price_Group,Lowest_Group_Price,Context_Variation_Level
Safeway_Safeway-DC1_2025-09-04_12:00 EST_1,Safeway,Safeway-DC1,2025-09-04,12:00 EST,1,Honeycrisp apples (1 apple),5,2.16,2.44,2.44,3,12.962962962962955,True,1-C,2.44,1-A,2.16,Large variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_10,Safeway,Safeway-DC1,2025-09-04,12:00 EST,10,"Lucerne Eggs, Large, 12 ct.",5,6.47,6.99,6.99,2,8.037094281298307,True,1-B,6.99,1-A,6.47,Moderate variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_11,Safeway,Safeway-DC1,2025-09-04,12:00 EST,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",5,10.25,10.99,11.59,3,13.073170731707314,True,1-E,11.59,1-A,10.25,Large variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_12,Safeway,Safeway-DC1,2025-09-04,12:00 EST,12,"Heinz Tomato Ketchup, 20 oz.",5,5.99,5.99,5.99,1,0.0,False,1-A,5.99,1-A,5.99,Minimal variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_13,Safeway,Safeway-DC1,2025-09-04,12:00 EST,13,"Quaker 1-Minute Oats, 42 oz.",5,8.99,8.99,9.79,2,8.898776418242479,True,1-E,9.79,1-A,8.99,Moderate variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_14,Safeway,Safeway-DC1,2025-09-04,12:00 EST,14,"Signature Select Quick One Minute Oatmeal, 42 oz.",5,6.47,6.99,6.99,2,8.037094281298307,True,1-B,6.99,1-A,6.47,Moderate variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_15,Safeway,Safeway-DC1,2025-09-04,12:00 EST,15,"Barilla Farfalle, Pasta Made with Durum Wheat, 16 oz.",5,2.99,2.99,2.99,1,0.0,False,1-A,2.99,1-A,2.99,Minimal variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_16,Safeway,Safeway-DC1,2025-09-04,12:00 EST,16,"Signature Select Farfalle, 12 oz.",5,1.35,1.49,1.49,2,10.370370370370363,True,1-B,1.49,1-A,1.35,Large variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_17,Safeway,Safeway-DC1,2025-09-04,12:00 EST,17,"Skippy Creamy Peanut Butter, 16 oz.",5,2.99,3.23,3.69,4,23.411371237458184,True,1-E,3.69,1-B,2.99,Very large variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_18,Safeway,Safeway-DC1,2025-09-04,12:00 EST,18,"Mission Super Soft Taco Flour Tortillas, 10 ct.",5,2.99,2.99,2.99,1,0.0,False,1-A,2.99,1-A,2.99,Minimal variation
