Context_ID,Group,Retailer,Store,Date,Hour,Product_Number,Product_Name,Group_Respondents,Actual_Price,Peer_Group_Count,Peer_Group_Unique_Prices,Peer_Group_Min,Peer_Group_Median,Peer_Group_Max,Peer_Deviation_Pct,Peer_Max_Min_Spread_Pct,Peer_Price_Position,OOF_Predicted_Price,OOF_Model_Deviation_Pct,Evidence_Score,Evidence_Level,Final_Signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_1,1-A,Safeway,Safeway-DC1,2025-09-04,12:00 EST,1,Honeycrisp apples (1 apple),3,2.16,5,3,2.16,2.44,2.44,-11.475409836065564,12.962962962962955,0.0,2.2058906081421545,-2.0803664503020958,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_1,1-B,Safeway,Safeway-DC1,2025-09-04,12:00 EST,1,Honeycrisp apples (1 apple),9,2.34,5,3,2.16,2.44,2.44,-4.098360655737709,12.962962962962955,0.6428571428571422,2.2058906081421545,6.0796030121727185,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_1,1-C,Safeway,Safeway-DC1,2025-09-04,12:00 EST,1,Honeycrisp apples (1 apple),10,2.44,5,3,2.16,2.44,2.44,0.0,12.962962962962955,1.0,2.2058906081421545,10.612919380214269,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_1,1-D,Safeway,Safeway-DC1,2025-09-04,12:00 EST,1,Honeycrisp apples (1 apple),7,2.44,5,3,2.16,2.44,2.44,0.0,12.962962962962955,1.0,2.2058906081421545,10.612919380214269,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_1,1-E,Safeway,Safeway-DC1,2025-09-04,12:00 EST,1,Honeycrisp apples (1 apple),3,2.44,5,3,2.16,2.44,2.44,0.0,12.962962962962955,1.0,2.2058906081421545,10.612919380214269,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_10,1-A,Safeway,Safeway-DC1,2025-09-04,12:00 EST,10,"Lucerne Eggs, Large, 12 ct.",3,6.47,5,2,6.47,6.99,6.99,-7.439198855507878,8.037094281298307,0.0,6.707833281407853,-3.5456051370128416,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_10,1-B,Safeway,Safeway-DC1,2025-09-04,12:00 EST,10,"Lucerne Eggs, Large, 12 ct.",9,6.99,5,2,6.47,6.99,6.99,0.0,8.037094281298307,1.0,6.707833281407853,4.206525516581205,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_10,1-C,Safeway,Safeway-DC1,2025-09-04,12:00 EST,10,"Lucerne Eggs, Large, 12 ct.",10,6.99,5,2,6.47,6.99,6.99,0.0,8.037094281298307,1.0,6.707833281407853,4.206525516581205,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_10,1-D,Safeway,Safeway-DC1,2025-09-04,12:00 EST,10,"Lucerne Eggs, Large, 12 ct.",7,6.99,5,2,6.47,6.99,6.99,0.0,8.037094281298307,1.0,6.707833281407853,4.206525516581205,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_10,1-E,Safeway,Safeway-DC1,2025-09-04,12:00 EST,10,"Lucerne Eggs, Large, 12 ct.",3,6.47,5,2,6.47,6.99,6.99,-7.439198855507878,8.037094281298307,0.0,6.707833281407853,-3.5456051370128416,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_11,1-A,Safeway,Safeway-DC1,2025-09-04,12:00 EST,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",3,10.25,5,3,10.25,10.99,11.59,-6.733393994540493,13.073170731707314,0.0,10.907768895793986,-6.030278988103777,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_11,1-B,Safeway,Safeway-DC1,2025-09-04,12:00 EST,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",9,10.99,5,3,10.25,10.99,11.59,0.0,13.073170731707314,0.5522388059701495,10.907768895793986,0.7538764800721243,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_11,1-C,Safeway,Safeway-DC1,2025-09-04,12:00 EST,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",10,10.99,5,3,10.25,10.99,11.59,0.0,13.073170731707314,0.5522388059701495,10.907768895793986,0.7538764800721243,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_11,1-D,Safeway,Safeway-DC1,2025-09-04,12:00 EST,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",7,10.99,5,3,10.25,10.99,11.59,0.0,13.073170731707314,0.5522388059701495,10.907768895793986,0.7538764800721243,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_11,1-E,Safeway,Safeway-DC1,2025-09-04,12:00 EST,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",3,11.59,5,3,10.25,10.99,11.59,5.459508644222022,13.073170731707314,1.0,10.907768895793986,6.254543075890462,21.838034576888088,Noticeably above peers,Moderate signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_12,1-A,Safeway,Safeway-DC1,2025-09-04,12:00 EST,12,"Heinz Tomato Ketchup, 20 oz.",3,5.99,5,1,5.99,5.99,5.99,0.0,0.0,0.5,5.133607015196727,16.68209082362835,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_12,1-B,Safeway,Safeway-DC1,2025-09-04,12:00 EST,12,"Heinz Tomato Ketchup, 20 oz.",9,5.99,5,1,5.99,5.99,5.99,0.0,0.0,0.5,5.133607015196727,16.68209082362835,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_12,1-C,Safeway,Safeway-DC1,2025-09-04,12:00 EST,12,"Heinz Tomato Ketchup, 20 oz.",10,5.99,5,1,5.99,5.99,5.99,0.0,0.0,0.5,5.133607015196727,16.68209082362835,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_12,1-D,Safeway,Safeway-DC1,2025-09-04,12:00 EST,12,"Heinz Tomato Ketchup, 20 oz.",7,5.99,5,1,5.99,5.99,5.99,0.0,0.0,0.5,5.133607015196727,16.68209082362835,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_12,1-E,Safeway,Safeway-DC1,2025-09-04,12:00 EST,12,"Heinz Tomato Ketchup, 20 oz.",3,5.99,5,1,5.99,5.99,5.99,0.0,0.0,0.5,5.133607015196727,16.68209082362835,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_13,1-A,Safeway,Safeway-DC1,2025-09-04,12:00 EST,13,"Quaker 1-Minute Oats, 42 oz.",3,8.99,5,2,8.99,8.99,9.79,0.0,8.898776418242479,0.0,8.056360983197036,11.588842887629202,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_13,1-B,Safeway,Safeway-DC1,2025-09-04,12:00 EST,13,"Quaker 1-Minute Oats, 42 oz.",9,8.99,5,2,8.99,8.99,9.79,0.0,8.898776418242479,0.0,8.056360983197036,11.588842887629202,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_13,1-C,Safeway,Safeway-DC1,2025-09-04,12:00 EST,13,"Quaker 1-Minute Oats, 42 oz.",10,8.99,5,2,8.99,8.99,9.79,0.0,8.898776418242479,0.0,8.056360983197036,11.588842887629202,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_13,1-D,Safeway,Safeway-DC1,2025-09-04,12:00 EST,13,"Quaker 1-Minute Oats, 42 oz.",7,8.99,5,2,8.99,8.99,9.79,0.0,8.898776418242479,0.0,8.056360983197036,11.588842887629202,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_13,1-E,Safeway,Safeway-DC1,2025-09-04,12:00 EST,13,"Quaker 1-Minute Oats, 42 oz.",3,9.79,5,2,8.99,8.99,9.79,8.898776418242482,8.898776418242479,1.0,8.298816021118778,17.96863522563299,35.59510567296993,Noticeably above peers,Moderate signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_14,1-A,Safeway,Safeway-DC1,2025-09-04,12:00 EST,14,"Signature Select Quick One Minute Oatmeal, 42 oz.",3,6.47,5,2,6.47,6.99,6.99,-7.439198855507878,8.037094281298307,0.0,6.874324696096479,-5.88166422115719,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_14,1-B,Safeway,Safeway-DC1,2025-09-04,12:00 EST,14,"Signature Select Quick One Minute Oatmeal, 42 oz.",9,6.99,5,2,6.47,6.99,6.99,0.0,8.037094281298307,1.0,6.874324696096479,1.6827151613773461,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_14,1-C,Safeway,Safeway-DC1,2025-09-04,12:00 EST,14,"Signature Select Quick One Minute Oatmeal, 42 oz.",10,6.99,5,2,6.47,6.99,6.99,0.0,8.037094281298307,1.0,6.874324696096479,1.6827151613773461,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_14,1-D,Safeway,Safeway-DC1,2025-09-04,12:00 EST,14,"Signature Select Quick One Minute Oatmeal, 42 oz.",7,6.99,5,2,6.47,6.99,6.99,0.0,8.037094281298307,1.0,6.874324696096479,1.6827151613773461,0.0,Within observed peer range,Low signal
Safeway_Safeway-DC1_2025-09-04_12:00 EST_14,1-E,Safeway,Safeway-DC1,2025-09-04,12:00 EST,14,"Signature Select Quick One Minute Oatmeal, 42 oz.",3,6.99,5,2,6.47,6.99,6.99,0.0,8.037094281298307,1.0,6.874324696096479,1.6827151613773461,0.0,Within observed peer range,Low signal
